country_name,Country,indicator_name,indicator_code,tech_export_2017 (million),tech_export_2018 (million),tech_export_2019 (million)
Afghanistan,AFG,High-technology exports,TX.VAL.TECH.CD,,,
Albania,ALB,High-technology exports,TX.VAL.TECH.CD,1.119,0.5917,
Algeria,DZA,High-technology exports,TX.VAL.TECH.CD,9.0274,,
American Samoa,ASM,High-technology exports,TX.VAL.TECH.CD,,,
Andorra,AND,High-technology exports,TX.VAL.TECH.CD,24.2354,33.9135,
Angola,AGO,High-technology exports,TX.VAL.TECH.CD,112.6475,98.2259,
Antigua and Barbuda,ATG,High-technology exports,TX.VAL.TECH.CD,0.0032,0.0114,
Arab World,ARB,High-technology exports,TX.VAL.TECH.CD,4507.0197,,
Argentina,ARG,High-technology exports,TX.VAL.TECH.CD,1494.1477,647.1724,561.9159
Armenia,ARM,High-technology exports,TX.VAL.TECH.CD,28.3108,36.2933,45.5483
Aruba,ABW,High-technology exports,TX.VAL.TECH.CD,2.0116,2.563,
Australia,AUS,High-technology exports,TX.VAL.TECH.CD,4837.2439,5274.0798,
Austria,AUT,High-technology exports,TX.VAL.TECH.CD,17027.6116,16687.4995,
Azerbaijan,AZE,High-technology exports,TX.VAL.TECH.CD,14.0694,21.178,28.0353
"Bahamas, The",BHS,High-technology exports,TX.VAL.TECH.CD,,,
Bahrain,BHR,High-technology exports,TX.VAL.TECH.CD,14.7971,11.7906,
Bangladesh,BGD,High-technology exports,TX.VAL.TECH.CD,,,
Barbados,BRB,High-technology exports,TX.VAL.TECH.CD,,,
Belarus,BLR,High-technology exports,TX.VAL.TECH.CD,687.6139,716.9919,
Belgium,BEL,High-technology exports,TX.VAL.TECH.CD,34397.9647,36817.018,40830.3556
Belize,BLZ,High-technology exports,TX.VAL.TECH.CD,0,0.0063,
Benin,BEN,High-technology exports,TX.VAL.TECH.CD,4.003,1.4087,
Bermuda,BMU,High-technology exports,TX.VAL.TECH.CD,1.1369,2.9398,
Bhutan,BTN,High-technology exports,TX.VAL.TECH.CD,,,
Bolivia,BOL,High-technology exports,TX.VAL.TECH.CD,19.3976,19.56,
Bosnia and Herzegovina,BIH,High-technology exports,TX.VAL.TECH.CD,236.6756,261.3793,253.6573
Botswana,BWA,High-technology exports,TX.VAL.TECH.CD,52.3432,39.4492,
Brazil,BRA,High-technology exports,TX.VAL.TECH.CD,10756.5169,11096.2805,
British Virgin Islands,VGB,High-technology exports,TX.VAL.TECH.CD,,,
Brunei Darussalam,BRN,High-technology exports,TX.VAL.TECH.CD,161.8706,0.1151,
Bulgaria,BGR,High-technology exports,TX.VAL.TECH.CD,1684.9167,2012.7797,
Burkina Faso,BFA,High-technology exports,TX.VAL.TECH.CD,5.268,6.5313,
Burundi,BDI,High-technology exports,TX.VAL.TECH.CD,0.2248,2.0196,
Cabo Verde,CPV,High-technology exports,TX.VAL.TECH.CD,,0,
Cambodia,KHM,High-technology exports,TX.VAL.TECH.CD,177.2049,164.816,
Cameroon,CMR,High-technology exports,TX.VAL.TECH.CD,30.198,,
Canada,CAN,High-technology exports,TX.VAL.TECH.CD,27599.6649,31036.3169,32490.7884
Caribbean small states,CSS,High-technology exports,TX.VAL.TECH.CD,,,
Cayman Islands,CYM,High-technology exports,TX.VAL.TECH.CD,,,
Central African Republic,CAF,High-technology exports,TX.VAL.TECH.CD,35.4623,,
Chad,TCD,High-technology exports,TX.VAL.TECH.CD,,,
Chile,CHL,High-technology exports,TX.VAL.TECH.CD,623.8544,680.2768,676.1978
China,CHN,High-technology exports,TX.VAL.TECH.CD,654000,732000,
Colombia,COL,High-technology exports,TX.VAL.TECH.CD,694.8485,606.2991,
Comoros,COM,High-technology exports,TX.VAL.TECH.CD,2.1205,0.0287,0.8342
"Congo, Dem. Rep.",COD,High-technology exports,TX.VAL.TECH.CD,,,
"Congo, Rep.",COG,High-technology exports,TX.VAL.TECH.CD,90.3358,,
Costa Rica,CRI,High-technology exports,TX.VAL.TECH.CD,1106.8462,1148.8317,
Cote d'Ivoire,CIV,High-technology exports,TX.VAL.TECH.CD,137.4111,78.7897,
Croatia,HRV,High-technology exports,TX.VAL.TECH.CD,923.4114,1011.9397,
Cuba,CUB,High-technology exports,TX.VAL.TECH.CD,,,
Curacao,CUW,High-technology exports,TX.VAL.TECH.CD,,,
Cyprus,CYP,High-technology exports,TX.VAL.TECH.CD,57.7078,95.7124,92.9893
Czech Republic,CZE,High-technology exports,TX.VAL.TECH.CD,29543.5085,36128.8372,37493.7873
Denmark,DNK,High-technology exports,TX.VAL.TECH.CD,8937.3225,9587.8754,9583.5255
Djibouti,DJI,High-technology exports,TX.VAL.TECH.CD,,,
Dominica,DMA,High-technology exports,TX.VAL.TECH.CD,,,
Dominican Republic,DOM,High-technology exports,TX.VAL.TECH.CD,432.9042,,
Ecuador,ECU,High-technology exports,TX.VAL.TECH.CD,94.3765,68.401,
"Egypt, Arab Rep.",EGY,High-technology exports,TX.VAL.TECH.CD,73.8458,125.2166,323.8538
El Salvador,SLV,High-technology exports,TX.VAL.TECH.CD,251.2193,277.8486,230.6264
Equatorial Guinea,GNQ,High-technology exports,TX.VAL.TECH.CD,,,
Eritrea,ERI,High-technology exports,TX.VAL.TECH.CD,,,
Estonia,EST,High-technology exports,TX.VAL.TECH.CD,1844.023,2065.3963,1863.4597
Eswatini,SWZ,High-technology exports,TX.VAL.TECH.CD,3.6209,11.4321,3.568
Ethiopia,ETH,High-technology exports,TX.VAL.TECH.CD,70.2223,,
Faroe Islands,FRO,High-technology exports,TX.VAL.TECH.CD,,,
Fiji,FJI,High-technology exports,TX.VAL.TECH.CD,4.0897,4.7785,
Finland,FIN,High-technology exports,TX.VAL.TECH.CD,4405.1146,4515.4147,
France,FRA,High-technology exports,TX.VAL.TECH.CD,109000,118000,
Gabon,GAB,High-technology exports,TX.VAL.TECH.CD,,,
"Gambia, The",GMB,High-technology exports,TX.VAL.TECH.CD,0.0039,0.0062,
Georgia,GEO,High-technology exports,TX.VAL.TECH.CD,23.1493,26.9503,19.3543
Germany,DEU,High-technology exports,TX.VAL.TECH.CD,196000,210000,207000
Ghana,GHA,High-technology exports,TX.VAL.TECH.CD,41.5317,50.0067,
Gibraltar,GIB,High-technology exports,TX.VAL.TECH.CD,,,
Greece,GRC,High-technology exports,TX.VAL.TECH.CD,1384.0002,1754.802,1778.2104
Greenland,GRL,High-technology exports,TX.VAL.TECH.CD,1.7434,0.488,
Grenada,GRD,High-technology exports,TX.VAL.TECH.CD,,,
Guam,GUM,High-technology exports,TX.VAL.TECH.CD,,,
Guatemala,GTM,High-technology exports,TX.VAL.TECH.CD,246.9667,,241.8538
Guinea,GIN,High-technology exports,TX.VAL.TECH.CD,,,
Guinea-Bissau,GNB,High-technology exports,TX.VAL.TECH.CD,,,
Guyana,GUY,High-technology exports,TX.VAL.TECH.CD,0.2547,0.1604,
Haiti,HTI,High-technology exports,TX.VAL.TECH.CD,,,
Honduras,HND,High-technology exports,TX.VAL.TECH.CD,45.741,,
"Hong Kong SAR, China",HKG,High-technology exports,TX.VAL.TECH.CD,294000,330000,322000
Hungary,HUN,High-technology exports,TX.VAL.TECH.CD,16903.988,18065.9217,18467.445
Iceland,ISL,High-technology exports,TX.VAL.TECH.CD,167.5598,143.4308,
India,IND,High-technology exports,TX.VAL.TECH.CD,15161.0284,20273.0902,
Indonesia,IDN,High-technology exports,TX.VAL.TECH.CD,5974.8881,6389.6047,
"Iran, Islamic Rep.",IRN,High-technology exports,TX.VAL.TECH.CD,278.925,,
Iraq,IRQ,High-technology exports,TX.VAL.TECH.CD,,,
Ireland,IRL,High-technology exports,TX.VAL.TECH.CD,34827.0216,36493.7948,
Isle of Man,IMN,High-technology exports,TX.VAL.TECH.CD,,,
Israel,ISR,High-technology exports,TX.VAL.TECH.CD,12057.719,12971.903,
Italy,ITA,High-technology exports,TX.VAL.TECH.CD,32232.2767,32581.0252,34308.1725
Jamaica,JAM,High-technology exports,TX.VAL.TECH.CD,11.653,,
Japan,JPN,High-technology exports,TX.VAL.TECH.CD,106000,111000,104000
Jordan,JOR,High-technology exports,TX.VAL.TECH.CD,83.3232,142.1883,
Kazakhstan,KAZ,High-technology exports,TX.VAL.TECH.CD,1787.7205,1762.9777,2251.4914
Kenya,KEN,High-technology exports,TX.VAL.TECH.CD,48.6175,54.8993,
Kiribati,KIR,High-technology exports,TX.VAL.TECH.CD,,,
"Korea, Dem. People’s Rep.",PRK,High-technology exports,TX.VAL.TECH.CD,,,
"Korea, Rep.",KOR,High-technology exports,TX.VAL.TECH.CD,167000,193000,154000
Kosovo,XKX,High-technology exports,TX.VAL.TECH.CD,,,
Kuwait,KWT,High-technology exports,TX.VAL.TECH.CD,5.4459,231.3634,
Kyrgyz Republic,KGZ,High-technology exports,TX.VAL.TECH.CD,88.9598,40.0237,
Lao PDR,LAO,High-technology exports,TX.VAL.TECH.CD,389.7025,467.9812,
Latvia,LVA,High-technology exports,TX.VAL.TECH.CD,1413.241,1881.8568,1428.7463
Lebanon,LBN,High-technology exports,TX.VAL.TECH.CD,272.1655,39.5293,
Lesotho,LSO,High-technology exports,TX.VAL.TECH.CD,1.2541,,
Liberia,LBR,High-technology exports,TX.VAL.TECH.CD,,,
Libya,LBY,High-technology exports,TX.VAL.TECH.CD,,,
Liechtenstein,LIE,High-technology exports,TX.VAL.TECH.CD,,,
Lithuania,LTU,High-technology exports,TX.VAL.TECH.CD,2317.9361,2516.3214,
Luxembourg,LUX,High-technology exports,TX.VAL.TECH.CD,786.6412,858.2699,
"Macao SAR, China",MAC,High-technology exports,TX.VAL.TECH.CD,,,
Madagascar,MDG,High-technology exports,TX.VAL.TECH.CD,3.6827,2.9993,
Malawi,MWI,High-technology exports,TX.VAL.TECH.CD,8.4065,,
Malaysia,MYS,High-technology exports,TX.VAL.TECH.CD,74136.2797,90395.903,
Maldives,MDV,High-technology exports,TX.VAL.TECH.CD,0.0007,,
Mali,MLI,High-technology exports,TX.VAL.TECH.CD,3.0212,,
Malta,MLT,High-technology exports,TX.VAL.TECH.CD,655.8197,762.2507,758.6321
Marshall Islands,MHL,High-technology exports,TX.VAL.TECH.CD,,,
Mauritania,MRT,High-technology exports,TX.VAL.TECH.CD,,,
Mauritius,MUS,High-technology exports,TX.VAL.TECH.CD,28.4121,31.2926,24.2989
Mexico,MEX,High-technology exports,TX.VAL.TECH.CD,69687.0478,74886.1238,73421.8545
"Micronesia, Fed. Sts.",FSM,High-technology exports,TX.VAL.TECH.CD,,,
Moldova,MDA,High-technology exports,TX.VAL.TECH.CD,30.0608,18.9441,
Monaco,MCO,High-technology exports,TX.VAL.TECH.CD,,,
Mongolia,MNG,High-technology exports,TX.VAL.TECH.CD,3.7792,6.7633,
Montenegro,MNE,High-technology exports,TX.VAL.TECH.CD,5.1331,4.2465,
Morocco,MAR,High-technology exports,TX.VAL.TECH.CD,691.2665,838.9599,
Mozambique,MOZ,High-technology exports,TX.VAL.TECH.CD,32.1989,27.2201,
Myanmar,MMR,High-technology exports,TX.VAL.TECH.CD,285.9952,312.0546,
Namibia,NAM,High-technology exports,TX.VAL.TECH.CD,15.7901,2.8883,
Nauru,NRU,High-technology exports,TX.VAL.TECH.CD,,,
Nepal,NPL,High-technology exports,TX.VAL.TECH.CD,5.9935,,
Netherlands,NLD,High-technology exports,TX.VAL.TECH.CD,78192.8523,85690.5732,
New Caledonia,NCL,High-technology exports,TX.VAL.TECH.CD,,,
New Zealand,NZL,High-technology exports,TX.VAL.TECH.CD,564.4894,606.9409,572.7524
Nicaragua,NIC,High-technology exports,TX.VAL.TECH.CD,12.6124,14.953,
Niger,NER,High-technology exports,TX.VAL.TECH.CD,,,
Nigeria,NGA,High-technology exports,TX.VAL.TECH.CD,18.3156,41.632,
North Macedonia,MKD,High-technology exports,TX.VAL.TECH.CD,186.0639,234.1701,252.5936
Northern Mariana Islands,MNP,High-technology exports,TX.VAL.TECH.CD,,,
Norway,NOR,High-technology exports,TX.VAL.TECH.CD,4272.8278,4294.5429,
Oman,OMN,High-technology exports,TX.VAL.TECH.CD,48.3624,73.3026,
Pakistan,PAK,High-technology exports,TX.VAL.TECH.CD,362.3766,380.3684,400.7763
Palau,PLW,High-technology exports,TX.VAL.TECH.CD,1.2771,0.4016,
Panama,PAN,High-technology exports,TX.VAL.TECH.CD,,,
Papua New Guinea,PNG,High-technology exports,TX.VAL.TECH.CD,,,
Paraguay,PRY,High-technology exports,TX.VAL.TECH.CD,62.2535,102.3366,
Peru,PER,High-technology exports,TX.VAL.TECH.CD,212.4444,210.4786,
Philippines,PHL,High-technology exports,TX.VAL.TECH.CD,33502.4793,33903.5534,
Poland,POL,High-technology exports,TX.VAL.TECH.CD,19261.8539,22236.7724,20354.176
Portugal,PRT,High-technology exports,TX.VAL.TECH.CD,2816.2365,2978.2195,3474.2573
Puerto Rico,PRI,High-technology exports,TX.VAL.TECH.CD,,,
Qatar,QAT,High-technology exports,TX.VAL.TECH.CD,0.2923,0.0367,
Romania,ROU,High-technology exports,TX.VAL.TECH.CD,5558.6536,6637.1401,6994.4694
Russian Federation,RUS,High-technology exports,TX.VAL.TECH.CD,10483.8024,10183.0078,
Rwanda,RWA,High-technology exports,TX.VAL.TECH.CD,,,
Samoa,WSM,High-technology exports,TX.VAL.TECH.CD,0.0746,0.1421,
San Marino,SMR,High-technology exports,TX.VAL.TECH.CD,,,
Sao Tome and Principe,STP,High-technology exports,TX.VAL.TECH.CD,0.3866,1.3329,
Saudi Arabia,SAU,High-technology exports,TX.VAL.TECH.CD,261.7257,285.4141,
Senegal,SEN,High-technology exports,TX.VAL.TECH.CD,18.8091,28.1557,9.4121
Serbia,SRB,High-technology exports,TX.VAL.TECH.CD,396.9519,458.0794,
Seychelles,SYC,High-technology exports,TX.VAL.TECH.CD,63.1174,5.6111,1.9466
Sierra Leone,SLE,High-technology exports,TX.VAL.TECH.CD,0.0013,,
Singapore,SGP,High-technology exports,TX.VAL.TECH.CD,147000,155000,
Sint Maarten (Dutch part),SXM,High-technology exports,TX.VAL.TECH.CD,,,
Slovak Republic,SVK,High-technology exports,TX.VAL.TECH.CD,8812.9179,8971.2428,
Slovenia,SVN,High-technology exports,TX.VAL.TECH.CD,1755.3844,2089.3864,
Solomon Islands,SLB,High-technology exports,TX.VAL.TECH.CD,0.3052,0.1713,
Somalia,SOM,High-technology exports,TX.VAL.TECH.CD,,,
South Africa,ZAF,High-technology exports,TX.VAL.TECH.CD,2040.0013,2239.9458,
South Sudan,SSD,High-technology exports,TX.VAL.TECH.CD,,,
Spain,ESP,High-technology exports,TX.VAL.TECH.CD,17094.3475,16982.2448,
Sri Lanka,LKA,High-technology exports,TX.VAL.TECH.CD,79.0267,,
St. Kitts and Nevis,KNA,High-technology exports,TX.VAL.TECH.CD,6.842,,
St. Lucia,LCA,High-technology exports,TX.VAL.TECH.CD,3.9219,,
St. Martin (French part),MAF,High-technology exports,TX.VAL.TECH.CD,,,
St. Vincent and the Grenadines,VCT,High-technology exports,TX.VAL.TECH.CD,0.0001,0.0003,
Sudan,SDN,High-technology exports,TX.VAL.TECH.CD,0.5492,,
Suriname,SUR,High-technology exports,TX.VAL.TECH.CD,1.0285,1.169,
Sweden,SWE,High-technology exports,TX.VAL.TECH.CD,17434.0425,17441.8322,17474.4206
Switzerland,CHE,High-technology exports,TX.VAL.TECH.CD,29844.3236,30136.2426,29879.337
Syrian Arab Republic,SYR,High-technology exports,TX.VAL.TECH.CD,,,
Tajikistan,TJK,High-technology exports,TX.VAL.TECH.CD,,,
Tanzania,TZA,High-technology exports,TX.VAL.TECH.CD,16.9627,186.2584,
Thailand,THA,High-technology exports,TX.VAL.TECH.CD,43987.0991,44795.082,
Timor-Leste,TLS,High-technology exports,TX.VAL.TECH.CD,,,
Togo,TGO,High-technology exports,TX.VAL.TECH.CD,0.5576,,
Tonga,TON,High-technology exports,TX.VAL.TECH.CD,,,
Trinidad and Tobago,TTO,High-technology exports,TX.VAL.TECH.CD,,,
Tunisia,TUN,High-technology exports,TX.VAL.TECH.CD,850.853,,
Turkey,TUR,High-technology exports,TX.VAL.TECH.CD,3500.8961,3116.828,
Turkmenistan,TKM,High-technology exports,TX.VAL.TECH.CD,,,
Tuvalu,TUV,High-technology exports,TX.VAL.TECH.CD,,,
Uganda,UGA,High-technology exports,TX.VAL.TECH.CD,8.1237,19.9126,
Ukraine,UKR,High-technology exports,TX.VAL.TECH.CD,1267.1451,1247.5559,
United Arab Emirates,ARE,High-technology exports,TX.VAL.TECH.CD,2188.9531,2395.5695,
United Kingdom,GBR,High-technology exports,TX.VAL.TECH.CD,75275.6948,76926.541,77909.845
Uruguay,URY,High-technology exports,TX.VAL.TECH.CD,129.2153,120.1979,
Uzbekistan,UZB,High-technology exports,TX.VAL.TECH.CD,41.0868,12.429,
Vanuatu,VUT,High-technology exports,TX.VAL.TECH.CD,,,
"Venezuela, RB",VEN,High-technology exports,TX.VAL.TECH.CD,,,
Vietnam,VNM,High-technology exports,TX.VAL.TECH.CD,74113.9404,82613.421,
West Bank and Gaza,PSE,High-technology exports,TX.VAL.TECH.CD,4.2922,6.2439,
"Yemen, Rep.",YEM,High-technology exports,TX.VAL.TECH.CD,,,
Zambia,ZMB,High-technology exports,TX.VAL.TECH.CD,36.2658,25.8055,22.4787
Zimbabwe,ZWE,High-technology exports,TX.VAL.TECH.CD,11.2062,9.7194,27.013
