Country,NY.GDP.MKTP.CD,GDP_2017 (million)
ARB,2513494434830.3,2513494.4348302996
CSS,69913144887.4144,69913.1448874144
CEB,1458696736645.45,1458696.73664545
EAR,11377092504041.2,11377092.504041199
EAS,24223285701971.4,24223285.701971397
EAP,14835611946612.9,14835611.9466129
TEA,14807303641278.0,14807303.641278
EMU,12655504662573.8,12655504.662573801
ECS,21581860912437.0,21581860.912437
ECA,3108431403073.36,3108431.4030733597
TEC,3901827241973.9,3901827.2419739
EUU,14735710571465.3,14735710.5714653
FCS,1550106897220.83,1550106.89722083
HPC,705521452844.014,705521.452844014
HIC,51416068828736.8,51416068.8287368
IBD,28851320771455.0,28851320.771455
IBT,30941555943939.8,30941555.9439398
IDB,920435301795.34,920435.3017953399
IDX,1177370035220.26,1177370.03522026
IDA,2096707795621.73,2096707.79562173
LTE,20551045153102.9,20551045.153102897
LCN,5985647360814.57,5985647.36081457
LAC,5416130983383.76,5416130.98338376
TLA,5745984224045.25,5745984.22404525
LDC,1027031212048.55,1027031.21204855
LMY,29845120321213.1,29845120.3212131
LIC,494892781230.879,494892.781230879
LMC,5761733418445.18,5761733.418445179
MEA,3270329262072.42,3270329.2620724197
MNA,1428592790217.68,1428592.79021768
TMN,1413870262588.08,1413870.26258808
MIC,29337418670054.4,29337418.6700544
NAC,21141594444340.1,21141594.444340102
INX,,
OED,50257605239562.0,50257605.239562
OSS,404126868252.701,404126.868252701
PSS,10008508092.0496,10008.5080920496
PST,47415034220935.9,47415034.220935896
PRE,1265557357216.69,1265557.35721669
SST,484048521232.165,484048.521232165
SAS,3347019816218.73,3347019.81621873
TSA,3347019816218.73,3347019.81621873
SSF,1639171578758.92,1639171.5787589198
SSA,1624372548153.57,1624372.5481535702
TSS,1639171578758.92,1639171.5787589198
UMC,23570009724735.5,23570009.7247355
WLD,81229182706392.5,81229182.7063925
AFG,20191760000.0587,20191.7600000587
ALB,13019693450.8816,13019.6934508816
DZA,167389364980.671,167389.364980671
ASM,602000000.0,602.0
AND,3000180750.11297,3000.1807501129697
AGO,122123822333.591,122123.822333591
ATG,1467977777.77778,1467.9777777777801
ARG,642695864756.35,642695.8647563499
ARM,11527458565.7334,11527.458565733401
ABW,3056424581.00559,3056.42458100559
AUS,1330135756844.41,1330135.75684441
AUT,418316161095.683,418316.161095683
AZE,40865558912.3867,40865.5589123867
BHS,12150400000.0,12150.4
BHR,35423643617.0213,35423.6436170213
BGD,249711052937.012,249711.052937012
BRB,4978000000.0,4978.0
BLR,54726595249.1849,54726.595249184895
BEL,503788776542.824,503788.776542824
BLZ,1836600000.0,1836.6
BEN,12701656930.6889,12701.6569306889
BMU,,
BTN,2450364928.07302,2450.36492807302
BOL,37508642112.8799,37508.6421128799
BIH,18080118128.3854,18080.1181283854
BWA,17405538618.3969,17405.5386183969
BRA,2062831045935.95,2062831.04593595
VGB,,
BRN,12128104859.1498,12128.1048591498
BGR,58950125036.0127,58950.1250360127
BFA,14169905602.3981,14169.9056023981
BDI,3172292379.36329,3172.29237936329
CPV,1769787215.42141,1769.78721542141
KHM,22177200511.5811,22177.2005115811
CMR,35009262788.15,35009.26278815
CAN,1649878054226.82,1649878.0542268201
CYM,5141833913.35653,5141.8339133565305
CAF,2072350151.13061,2072.35015113061
TCD,10000395242.1457,10000.3952421457
CHI,,
CHL,277044950259.009,277044.95025900897
CHN,12310408652423.5,12310408.6524235
COL,311883730442.045,311883.73044204497
COM,1077439662.5798,1077.4396625798
COD,38019265625.8845,38019.2656258845
COG,9035182061.96536,9035.18206196536
CRI,58481858042.5721,58481.8580425721
CIV,51588158717.5348,51588.158717534796
HRV,55319605060.5393,55319.605060539296
CUB,96851000000.0,96851.0
CUW,3116610111.73184,3116.6101117318403
CYP,22638608224.1301,22638.6082241301
CZE,215913545038.43,215913.54503843
DNK,329417067127.817,329417.067127817
DJI,2751461055.59307,2751.46105559307
DMA,519837037.037037,519.837037037037
DOM,79997975621.8654,79997.97562186541
ECU,104295862000.0,104295.862
EGY,235369129337.711,235369.129337711
SLV,24979200000.0,24979.2
GNQ,12200914929.5961,12200.9149295961
ERI,,
EST,26859101053.8139,26859.1010538139
SWZ,4446248676.29633,4446.248676296331
ETH,81770791970.982,81770.791970982
FRO,2833300519.46872,2833.30051946872
FJI,5353404422.08138,5353.40442208138
FIN,255122545770.778,255122.545770778
FRA,2595151045197.65,2595151.04519765
PYF,,
GAB,14929488770.7315,14929.488770731501
GMB,1498044491.4304,1498.0444914303998
GEO,16242916915.7203,16242.916915720301
DEU,3665804120835.3,3665804.1208352996
GHA,58998132329.6173,58998.1323296173
GIB,,
GRC,203588424288.428,203588.424288428
GRL,2826651925.66902,2826.6519256690203
GRD,1125685185.18519,1125.68518518519
GUM,5851000000.0,5851.0
GTM,71612352781.0667,71612.3527810667
GIN,10336634798.7593,10336.6347987593
GNB,1346841897.00437,1346.84189700437
GUY,3555205811.13802,3555.20581113802
HTI,8409497402.4589,8409.497402458901
HND,23136232229.6069,23136.2322296069
HKG,341244161576.759,341244.16157675895
HUN,141510583019.556,141510.583019556
ISL,24488176539.6549,24488.176539654898
IND,2652754685834.59,2652754.68583459
IDN,1015618742565.81,1015618.7425658101
IRN,445345282122.682,445345.282122682
IRQ,195473049875.127,195473.049875127
IRL,335663113959.724,335663.113959724
IMN,6770532818.53282,6770.53281853282
ISR,353253406954.97,353253.40695497
ITA,1961796197354.36,1961796.19735436
JAM,14806340821.0871,14806.340821087098
JPN,4866864409657.68,4866864.4096576795
JOR,40708943661.9718,40708.9436619718
KAZ,166805800595.704,166805.800595704
KEN,78965004656.1823,78965.0046561823
KIR,187276210.91355,187.27621091355
PRK,,
KOR,1623901496835.79,1623901.49683579
XKX,7245707184.81699,7245.70718481699
KWT,120707220573.689,120707.22057368899
KGZ,7702934800.12836,7702.93480012836
LAO,16853087485.4118,16853.0874854118
LVA,30273007510.3024,30273.0075103024
LBN,53140638269.1211,53140.638269121104
LSO,2405289382.35938,2405.28938235938
LBR,3285455000.0,3285.455
LBY,37883243650.452,37883.243650452
LIE,6552858738.70214,6552.85873870214
LTU,47750908128.259,47750.908128259005
LUX,64181944722.7283,64181.9447227283
MAC,50751059058.0613,50751.0590580613
MDG,13176313233.1978,13176.3132331978
MWI,6303292264.18905,6303.29226418905
MYS,318958236443.122,318958.23644312203
MDV,4735989972.05433,4735.98997205433
MLI,15375605991.6302,15375.6059916302
MLT,12747857570.0407,12747.8575700407
MHL,212881000.0,212.881
MRT,6758390728.71734,6758.390728717341
MUS,13259351418.4459,13259.3514184459
MEX,1157736189998.15,1157736.1899981499
FSM,366666800.0,366.6668
MDA,9669759987.02633,9669.759987026331
MCO,6431314957.07185,6431.31495707185
MNG,11425755279.5254,11425.7552795254
MNE,4856632399.45775,4856.632399457751
MAR,109714300453.983,109714.300453983
MOZ,13219084261.3664,13219.084261366399
MMR,68945867477.6054,68945.8674776054
NAM,12741746433.6716,12741.7464336716
NRU,109585941.624557,109.58594162455701
NPL,25180583770.2719,25180.5837702719
NLD,833869641687.06,833869.64168706
NCL,,
NZL,205415864857.984,205415.864857984
NIC,13785943183.0661,13785.9431830661
NER,11166063886.8555,11166.0638868555
NGA,375745486520.656,375745.486520656
MKD,11307058382.3435,11307.0583823435
MNP,1601000000.0,1601.0
NOR,398393955268.99,398393.95526899
OMN,70600000000.0,70600.0
PAK,304567253219.097,304567.253219097
PLW,286321800.0,286.3218
PAN,62219000000.0,62219.0
PNG,22742613553.6879,22742.6135536879
PRY,39008900331.6733,39008.9003316733
PER,211007207483.515,211007.20748351503
PHL,328480738147.729,328480.738147729
POL,526380811261.345,526380.8112613449
PRT,221357874718.93,221357.87471893
PRI,103445500000.0,103445.5
QAT,166928571428.571,166928.571428571
ROU,211695422578.655,211695.422578655
RUS,1574199387070.9,1574199.3870708998
RWA,9253098954.27769,9253.098954277692
WSM,831903809.749172,831.903809749172
SMR,1528468142.79259,1528.46814279259
STP,375040835.10034,375.04083510034
SAU,688586133333.333,688586.133333333
SEN,20996564751.5994,20996.5647515994
SRB,44120425319.8576,44120.4253198576
SYC,1524486801.19044,1524.48680119044
SLE,3739577973.23943,3739.57797323943
SGP,341863349989.138,341863.349989138
SXM,,
SVK,95481955557.6908,95481.9555576908
SVN,48561672400.8437,48561.672400843694
SLB,1309631133.19979,1309.63113319979
SOM,,
ZAF,349554116683.818,349554.116683818
SSD,,
ESP,1312551705955.3,1312551.7059553
LKA,87428125557.573,87428.125557573
KNA,996937037.037037,996.937037037037
LCA,1999090407.40741,1999.0904074074099
MAF,,
VCT,792177777.777778,792.177777777778
SDN,45379127306.436,45379.127306436
SUR,3210064505.78949,3210.0645057894903
SWE,541018749769.097,541018.749769097
CHE,679950482029.061,679950.4820290611
SYR,,
TJK,7157865188.25222,7157.86518825222
TZA,53320625958.5628,53320.6259585628
THA,456294704152.647,456294.704152647
TLS,1609669330.12439,1609.66933012439
TGO,4819949975.18151,4819.94997518151
TON,430174168.740104,430.174168740104
TTO,22474828527.1775,22474.828527177502
TUN,39802430354.6334,39802.4303546334
TUR,852676779693.539,852676.7796935389
TKM,37926285714.2857,37926.285714285696
TCA,962525840.0,962.52584
TUV,40619251.9926426,40.619251992642596
UGA,30756466548.0543,30756.466548054297
UKR,112190355158.178,112190.35515817799
ARE,385605506854.881,385605.506854881
GBR,2666229179958.01,2666229.1799580096
USA,19485393853000.0,19485393.853
URY,59530088536.2179,59530.0885362179
UZB,59159945320.5667,59159.9453205667
VUT,880043553.748442,880.043553748442
VEN,,
VNM,223779865815.183,223779.865815183
VIR,3855000000.0,3855.0
PSE,14498100000.0,14498.1
YEM,24561327989.312,24561.327989312
ZMB,25868142076.7897,25868.1420767897
ZWE,22040902300.0,22040.9023
